index,smiles,label,canonical_smiles,meanIC50,label10,label20,label30,label40,label50,label60,label70,label80,label90,label100
1,Br.CSc1nc2ccccc2n1-c1csc(=N)n1CC(=O)c1ccccc1,0,Br.CSc1nc2ccccc2n1-c1csc(=N)n1CC(=O)c1ccccc1,180.0,0,0,0,0,0,0,0,0,0,0
2,Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccncc3)o2)cc1,0,Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccncc3)o2)cc1,39000.0,0,0,0,0,0,0,0,0,0,0
3,Brc1ccc(-c2nnc(CSc3nnc(-c4ccncc4)o3)o2)cc1,0,Brc1ccc(-c2nnc(CSc3nnc(-c4ccncc4)o3)o2)cc1,53.0,0,0,0,0,0,1,1,1,1,1
4,Brc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1.Cl,0,Brc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1.Cl,41.0,0,0,0,0,1,1,1,1,1,1
5,Brc1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1,0,Brc1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1,2800.0,0,0,0,0,0,0,0,0,0,0
6,Brc1ccc(/C=N/Nc2nnc(-c3ccncc3)o2)cc1,0,Brc1ccc(/C=N/Nc2nnc(-c3ccncc3)o2)cc1,110.0,0,0,0,0,0,0,0,0,0,0
7,Brc1ccc(OCCOc2nc3ccccc3s2)c(Br)c1,0,Brc1ccc(OCCOc2nc3ccccc3s2)c(Br)c1,360.0,0,0,0,0,0,0,0,0,0,0
8,Brc1ccc(OCCOc2nc3ccccc3s2)cc1,0,Brc1ccc(OCCOc2nc3ccccc3s2)cc1,500.0,0,0,0,0,0,0,0,0,0,0
9,Brc1ccc(Oc2ccc(OCCN3CCCC3)cc2)cc1,0,Brc1ccc(Oc2ccc(OCCN3CCCC3)cc2)cc1,5100.0,0,0,0,0,0,0,0,0,0,0
10,Brc1ccccc1-n1cc(CSc2nc3ccccc3o2)nn1,0,Brc1ccccc1-n1cc(CSc2nc3ccccc3o2)nn1,2750.0,0,0,0,0,0,0,0,0,0,0
11,C#CCCCC(=O)Nc1ccc(C(=O)c2ccc(NCc3ccc(-c4ccc(O)c(C(=O)O)c4)o3)cc2)cc1.N,0,C#CCCCC(=O)Nc1ccc(C(=O)c2ccc(NCc3ccc(-c4ccc(O)c(C(=O)O)c4)o3)cc2)cc1.N,36000.0,0,0,0,0,0,0,0,0,0,0
12,C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0,C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,100.0,0,0,0,0,0,0,0,0,0,1
13,C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,0,C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,15.0,0,1,1,1,1,1,1,1,1,1
14,C#CCNC(=O)/C=C/c1c(/C=C/c2ccc(OC)cc2)cc(OC)cc1OC,0,C#CCNC(=O)/C=C/c1c(/C=C/c2ccc(OC)cc2)cc(OC)cc1OC,7080.0,0,0,0,0,0,0,0,0,0,0
15,C#CCOc1ccc(/C=C2\SC(=O)NC2=O)cc1,0,C#CCOc1ccc(/C=C2\SC(=O)NC2=O)cc1,330.0,0,0,0,0,0,0,0,0,0,0
